"103000001","27","10","08","37","28","19","03"
"103000002","07","18","08","23","31","12","02"
"103000003","31","04","23","34","35","22","01"
"103000004","04","03","30","24","23","26","02"
"103000005","34","38","23","13","14","37","07"
"103000006","36","04","23","09","37","21","03"
"103000007","31","29","26","32","12","28","06"
"103000008","38","36","20","28","26","08","08"
"103000009","10","14","16","06","11","30","01"
"103000010","28","37","19","24","21","17","06"
"103000011","02","08","25","35","29","36","02"
"103000012","13","27","20","25","28","33","01"
"103000013","16","35","36","20","06","08","08"
"103000014","33","14","12","37","17","08","05"
"103000015","30","01","10","03","18","13","01"
"103000016","29","10","36","27","23","15","05"
"103000017","23","26","04","08","20","21","05"
"103000018","09","13","05","01","37","28","05"
"103000019","27","08","20","28","13","15","04"
"103000020","11","29","18","27","22","28","04"
"103000021","30","19","21","27","15","11","04"
"103000022","27","12","22","15","28","02","05"
"103000023","37","18","08","25","01","35","05"
"103000024","24","35","31","14","06","37","01"
"103000025","38","19","15","37","04","22","05"
"103000026","30","17","02","15","08","16","06"
"103000027","33","22","02","27","25","13","08"
"103000028","25","28","05","32","38","21","05"
"103000029","18","06","10","24","15","14","07"
"103000030","38","33","22","06","31","32","04"
"103000031","19","06","01","17","27","30","06"
"103000032","13","12","34","25","09","24","05"
"103000033","08","21","30","14","19","31","02"
"103000034","04","26","30","18","36","01","01"
"103000035","04","05","11","32","02","33","08"
"103000036","33","16","24","25","31","32","05"
"103000037","29","19","10","09","14","28","08"
"103000038","05","09","08","29","02","01","01"
"103000039","33","21","07","28","35","09","08"
"103000040","33","01","22","36","31","16","04"
"103000041","12","20","34","36","09","37","03"
"103000042","02","32","09","10","19","22","05"
"103000043","22","19","32","18","27","35","02"
"103000044","11","31","07","34","20","14","07"
"103000045","08","20","19","10","12","37","01"
"103000046","18","05","21","14","04","33","02"
"103000047","14","22","04","30","19","27","05"
"103000048","24","27","03","29","11","37","01"
"103000049","30","10","29","11","16","24","01"
"103000050","04","18","19","26","14","34","03"
"103000051","19","24","04","30","27","12","07"
"103000052","29","25","28","04","21","14","02"
"103000053","31","08","22","14","36","10","04"
"103000054","04","33","10","32","30","14","08"
"103000055","01","10","31","02","21","22","08"
"103000056","18","25","38","26","37","01","06"
"103000057","29","37","21","16","27","20","03"
"103000058","01","10","04","03","13","37","01"
"103000059","25","06","35","29","17","36","01"
"103000060","15","35","16","11","05","23","01"
"103000061","01","15","31","33","38","17","02"
"103000062","26","05","33","28","10","18","02"
"103000063","25","18","23","36","17","26","05"
"103000064","16","36","27","29","14","25","07"
"103000065","19","11","16","04","23","12","06"
"103000066","37","34","12","18","31","10","05"
"103000067","32","25","18","23","22","36","06"
"103000068","10","05","20","26","03","30","06"
"103000069","15","26","24","01","23","29","05"
"103000070","14","05","26","23","22","32","08"
"103000071","10","14","26","08","24","01","01"
"103000072","18","05","21","37","19","31","08"
"103000073","37","07","29","05","15","25","08"
"103000074","21","03","20","15","28","14","08"
"103000075","10","24","23","35","05","15","06"
"103000076","37","15","08","23","18","31","08"
"103000077","28","26","10","36","22","12","08"
"103000078","36","28","15","27","08","02","07"
"103000079","13","33","12","31","04","26","06"
"103000080","35","33","22","15","20","25","07"
"103000081","08","02","06","38","07","09","08"
"103000082","33","30","26","03","35","19","02"
"103000083","24","30","09","20","12","11","02"
"103000084","30","11","37","34","25","21","01"
"103000085","35","08","38","12","28","27","06"
"103000086","38","07","10","37","09","24","08"
"103000087","27","34","06","09","08","10","06"
"103000088","06","02","11","08","38","26","07"
"103000089","20","32","36","15","05","19","03"
"103000090","17","34","31","14","01","06","08"
"103000091","14","35","12","27","17","15","06"
"103000092","06","34","24","05","32","13","01"
"103000093","31","35","17","12","33","30","04"
"103000094","24","22","32","05","19","03","02"
"103000095","33","29","02","21","01","36","08"
"103000096","14","31","02","19","07","01","07"
"103000097","22","11","07","05","36","02","06"
"103000098","24","38","35","20","27","11","08"
"103000099","24","07","12","13","28","21","06"
"103000100","10","38","11","05","36","15","06"
"103000101","29","26","01","05","18","20","05"
"103000102","19","05","13","37","01","04","02"
"103000103","10","36","14","23","06","03","01"
"103000104","09","37","02","10","04","11","02"
"104000001","17","05","21","01","11","03","02"
"104000002","34","23","01","06","26","15","06"
"104000003","29","13","38","17","36","03","07"
"104000004","36","37","30","25","35","16","05"
"104000005","29","28","16","37","01","03","02"
"104000006","04","33","21","08","32","09","02"
"104000007","18","36","27","26","30","14","05"
"104000008","12","25","04","38","24","33","04"
"104000009","01","29","18","04","30","14","08"
"104000010","26","17","04","27","01","24","07"
"104000011","37","03","25","16","10","29","01"
"104000012","15","34","16","01","04","03","02"
"104000013","07","36","08","10","33","25","03"
"104000014","30","07","23","04","05","24","02"
"104000015","12","38","23","13","04","15","04"
"104000016","35","38","34","31","05","13","02"
"104000017","21","32","37","08","22","26","04"
"104000018","36","11","09","12","31","21","07"
"104000019","02","26","24","13","04","08","02"
"104000020","21","18","16","12","03","36","03"
"104000021","01","02","30","27","14","22","01"
"104000022","30","05","08","20","34","22","08"
"104000023","06","34","35","30","38","17","02"
"104000024","17","27","10","18","12","32","05"
"104000025","38","24","36","26","06","14","03"
"104000026","08","24","01","10","19","23","05"
"104000027","18","37","19","01","12","08","05"
"104000028","22","20","01","07","25","32","08"
"104000029","11","28","06","15","02","12","02"
"104000030","20","37","23","05","12","32","02"
"104000031","35","29","26","28","08","03","03"
"104000032","22","25","21","26","11","24","06"
"104000033","11","09","25","15","28","38","03"
"104000034","34","02","26","12","14","37","02"
"104000035","32","26","35","13","23","12","04"
"104000036","08","25","06","33","13","16","03"
"104000037","18","26","07","27","13","24","06"
"104000038","10","05","03","31","23","30","04"
"104000039","35","30","22","15","16","10","05"
"104000040","05","23","06","38","17","13","08"
"104000041","06","37","01","15","12","25","02"
"104000042","04","30","07","38","25","11","04"
"104000043","19","25","33","22","31","21","01"
"104000044","32","34","23","37","02","25","06"
"104000045","24","33","35","21","03","15","02"
"104000046","28","19","10","06","13","11","01"
"104000047","26","24","09","27","37","38","06"
"104000048","07","25","31","04","35","08","08"
"104000049","21","13","08","17","05","38","05"
"104000050","27","26","19","03","11","05","02"
"104000051","37","17","27","03","08","10","08"
"104000052","29","26","07","24","25","27","07"
"104000053","36","37","31","07","29","23","08"
"104000054","27","11","12","07","22","14","03"
"104000055","36","15","03","32","27","04","05"
"104000056","17","27","31","29","12","01","06"
"104000057","02","01","31","24","38","07","08"
"104000058","33","16","13","37","28","35","08"
"104000059","11","02","29","18","03","16","04"
"104000060","30","26","07","04","23","36","07"
"104000061","03","09","23","24","16","11","04"
"104000062","38","18","30","17","28","36","04"
"104000063","09","08","24","22","06","14","03"
"104000064","20","06","18","38","16","24","07"
"104000065","33","13","25","27","29","06","01"
"104000066","19","23","33","15","28","27","02"
"104000067","33","24","03","07","20","21","08"
"104000068","17","31","18","22","13","29","03"
"104000069","30","17","02","27","34","23","01"
"104000070","36","15","12","37","31","24","06"
"104000071","33","04","05","03","16","15","06"
"104000072","25","34","28","24","31","07","03"
"104000073","32","15","25","34","26","22","04"
"104000074","09","19","27","21","37","23","08"
"104000075","34","35","27","09","24","11","04"
"104000076","33","01","11","05","25","02","04"
"104000077","24","05","03","13","16","26","03"
"104000078","12","05","27","22","13","30","08"
"104000079","16","14","23","02","06","31","03"
"104000080","20","37","30","22","32","36","01"
"104000081","22","19","07","09","16","10","08"
"104000082","04","19","35","33","31","23","02"
"104000083","24","09","31","10","36","35","07"
"104000084","17","04","37","32","27","25","01"
"104000085","33","16","26","24","04","08","06"
"104000086","19","31","09","02","32","20","07"
"104000087","10","19","11","03","18","33","05"
"104000088","03","21","36","28","25","14","03"
"104000089","37","11","01","24","20","12","08"
"104000090","13","07","28","33","06","26","05"
"104000091","33","01","02","29","15","13","03"
"104000092","15","22","02","23","20","09","05"
"104000093","28","05","03","35","27","37","05"
"104000094","15","09","05","19","22","01","05"
"104000095","07","05","19","04","38","03","04"
"104000096","20","04","13","38","27","33","01"
"104000097","08","07","20","30","19","17","02"
