"103000001","26","13","05","34","24"
"103000002","08","14","27","30","19"
"103000003","10","32","27","28","37"
"103000004","14","19","39","05","25"
"103000005","38","13","16","31","17"
"103000006","05","23","10","19","06"
"103000007","06","04","33","28","17"
"103000008","17","33","06","15","27"
"103000009","26","16","13","39","08"
"103000010","19","08","32","10","06"
"103000011","35","38","10","11","13"
"103000012","16","21","09","34","17"
"103000013","30","36","18","03","31"
"103000014","05","08","14","23","09"
"103000015","31","24","22","32","37"
"103000016","15","07","02","38","21"
"103000017","21","31","14","34","38"
"103000018","11","27","04","07","21"
"103000019","31","29","19","24","25"
"103000020","30","08","21","05","16"
"103000021","21","34","38","37","03"
"103000022","31","20","30","38","02"
"103000023","28","38","30","26","27"
"103000024","19","10","02","05","15"
"103000025","37","25","38","17","19"
"103000026","17","24","21","34","23"
"103000027","19","24","08","35","23"
"103000028","37","31","21","29","28"
"103000029","22","03","16","08","33"
"103000030","37","11","18","33","21"
"103000031","38","36","39","29","28"
"103000032","20","02","07","30","36"
"103000033","19","05","13","32","38"
"103000034","21","10","33","22","02"
"103000035","06","09","28","14","11"
"103000036","20","11","21","13","28"
"103000037","16","29","11","13","15"
"103000038","05","33","04","32","06"
"103000039","03","08","37","11","21"
"103000040","14","07","22","21","04"
"103000041","06","16","10","34","01"
"103000042","32","13","38","16","30"
"103000043","02","17","08","34","05"
"103000044","15","19","05","16","04"
"103000045","07","10","06","37","08"
"103000046","17","13","27","38","37"
"103000047","27","33","12","39","13"
"103000048","12","04","03","22","07"
"103000049","06","21","38","35","17"
"103000050","37","38","30","03","31"
"103000051","23","26","20","03","24"
"103000052","16","12","36","05","30"
"103000053","19","38","26","30","25"
"103000054","01","07","17","02","25"
"103000055","13","04","36","12","01"
"103000056","15","22","16","31","35"
"103000057","23","22","05","16","38"
"103000058","22","23","17","09","18"
"103000059","02","22","13","34","35"
"103000060","23","25","31","38","13"
"103000061","31","38","14","29","19"
"103000062","17","33","06","24","27"
"103000063","14","36","15","38","01"
"103000064","06","23","25","31","07"
"103000065","01","23","10","04","39"
"103000066","14","18","12","35","16"
"103000067","07","12","11","37","02"
"103000068","34","07","01","17","24"
"103000069","09","14","39","03","08"
"103000070","23","21","38","26","08"
"103000071","05","36","17","27","39"
"103000072","35","06","38","11","02"
"103000073","02","34","37","17","24"
"103000074","07","02","08","01","14"
"103000075","11","02","01","39","09"
"103000076","35","26","29","24","11"
"103000077","22","02","23","34","35"
"103000078","10","14","17","01","34"
"103000079","11","04","07","38","20"
"103000080","28","01","31","12","03"
"103000081","06","24","20","09","34"
"103000082","25","30","12","04","21"
"103000083","39","31","05","11","09"
"103000084","34","19","35","16","20"
"103000085","07","16","12","31","09"
"103000086","31","07","20","17","24"
"103000087","11","13","08","21","16"
